timestamp,x,y,z
78099,0.43,-0.12,-0.24
78202,0.31,-0.06,-0.18
78305,0.43,-0.12,-0.24
78408,0.31,-0.06,-0.18
78510,0.24,0.73,-1.34
78613,0.73,0.24,-0.49
78716,0.61,1.22,-2.62
78820,-0.31,2.14,3.17
78923,15.81,2.56,2.44
79026,1.04,-1.1,-0.73
79129,-7.69,-2.62,12.21
79233,0.06,-0.43,-0.06
79335,-0.31,-0.37,-0.18
79438,0.18,-0.73,1.04
79542,0.18,-0.24,0.18
79645,0.49,-0.06,-0.18
79749,0.49,0.0,-0.12
79853,0.67,0.0,-0.06
79956,1.1,0.12,-0.06
80058,-0.24,0.0,-0.43
80162,-6.04,-5.62,1.65
80265,59.27,-8.48,-33.33
80369,64.7,31.01,-18.92
80472,149.23,-62.13,21.24
80575,5.74,-13.98,19.53
80679,-155.88,7.08,-10.8
80782,-23.19,-4.03,5.98
80885,-3.3,2.5,-1.16
80988,-45.84,4.21,2.01
81091,-7.81,1.28,-0.61
81194,-8.73,-2.44,1.71
81748,-61.22,-1.22,-3.36
81851,-1.89,-0.55,0.31
81955,-6.16,-7.32,4.21
82058,1.53,-1.04,0.61
82160,0.37,-0.06,-0.24
82263,0.31,-0.55,-0.06
82366,0.61,-0.18,-0.24
82470,0.61,-0.06,-0.24
82573,0.55,-0.06,-0.24
82676,0.73,-0.06,-0.24
82779,0.49,-0.06,-0.18
82882,0.61,0.0,-0.24
82985,0.92,-0.12,-0.49
83088,0.79,0.0,-0.37
83191,0.37,-0.37,-0.18
83294,5.92,-0.49,-2.62
83397,17.76,0.49,-7.81
83500,112.55,2.08,-9.95
83603,-16.05,25.76,-10.56
83707,-102.84,11.23,0.61
83809,0.43,0.24,-0.37
83912,0.18,-0.31,-0.12
84015,0.37,-0.06,-0.24
84118,0.37,-0.12,-0.18
84221,0.43,0.0,-0.24
84324,0.37,-0.12,-0.18
84426,0.37,-0.06,-0.24
84529,0.37,-0.06,-0.24
84631,0.37,-0.06,-0.24
84733,0.37,-0.12,-0.24
84836,0.37,-0.06,-0.18
84938,0.31,-0.06,-0.24
85041,0.43,-0.12,-0.24
85144,0.37,-0.06,-0.24
85246,0.37,-0.06,-0.24
85348,0.43,-0.06,-0.24
85451,0.37,-0.06,-0.24
85553,0.43,-0.12,-0.24
85656,0.37,-0.06,-0.18
85759,0.43,-0.06,-0.24
85862,0.37,-0.12,-0.18
85964,0.37,-0.06,-0.24
86067,0.37,-0.06,-0.18
86170,0.31,-0.06,-0.18
86273,0.37,-0.12,-0.24
86375,0.43,-0.06,-0.18
86478,0.37,-0.12,-0.18
86580,0.31,-0.06,-0.24
86683,0.37,-0.06,-0.18
86786,0.37,-0.12,-0.18
86888,0.37,-0.06,-0.18
86991,0.37,-0.06,-0.24
87094,0.37,-0.06,-0.18
87196,0.37,-0.12,-0.18
87298,0.37,-0.06,-0.24
87401,0.37,-0.06,-0.18
87503,0.43,-0.06,-0.24
87606,0.37,-0.12,-0.18
87709,0.37,-0.06,-0.18
87811,0.43,0.0,-0.18
87914,0.37,-0.06,-0.24
88017,0.43,-0.12,-0.18
88119,0.31,-0.12,-0.24
88222,0.37,0.0,-0.24
88324,0.37,-0.06,-0.24
88427,0.37,-0.06,-0.18
88530,0.43,-0.06,-0.18
88632,0.37,-0.06,-0.24
88735,0.43,-0.06,-0.18
88838,0.37,-0.12,-0.18
88941,0.43,-0.06,-0.24
89043,0.37,-0.06,-0.18
89146,0.43,-0.06,-0.18
89248,0.37,-0.12,-0.18
89351,0.43,-0.12,-0.18
89454,0.37,-0.06,-0.24
89556,0.61,-0.12,-0.18
89659,0.43,-0.06,-0.24
89762,0.31,0.0,-0.18
89864,0.24,-0.12,-0.12
89968,-0.73,-0.43,0.49
90071,0.37,-0.06,-0.24
90174,0.37,-0.06,-0.18
90277,0.37,-0.12,-0.18
90380,0.37,-0.06,-0.18
90483,0.37,-0.06,-0.18
90586,0.37,-0.06,-0.18
90688,0.37,-0.06,-0.18
90791,0.37,-0.06,-0.18
90893,0.37,-0.06,-0.18
